Instance,COA (Paper) Fitness,COA (Paper) Iteration,COA (Reproduced) Fitness,COA (Reproduced) Iteration
Instance1,0.85,308.67,0.5416666666666667,296
Instance2,0.77,721.6,0.7008695652173913,771
Instance3,0.68,817.26,0.7866666666666667,788
Instance4,0.61,911.46,0.9008333333333334,745
