n,Mean Coverage Count,Std Coverage Count,Mean Connectivity Count,Std Connectivity Count,Mean Fitness,Std Fitness
50,33.74,1.74,52.88,2.14,0.7151,0.0287
100,61.88,3.06,81.18,3.16,0.6477,0.0269
150,93.42,3.62,112.30,3.66,0.6417,0.0213
200,117.48,4.11,135.48,5.02,0.6016,0.0198
250,144.40,5.61,159.86,7.62,0.5848,0.0213
300,169.88,6.11,186.38,7.31,0.5744,0.0191
