n,Mean Coverage Count,Std Coverage Count,Mean Connectivity Count,Std Connectivity Count,Mean Fitness,Std Fitness
50,45.14,1.63,64.54,2.04,0.9124,0.0282
100,80.56,2.30,100.56,2.30,0.8218,0.0211
150,122.14,3.53,141.90,3.70,0.8245,0.0223
200,153.16,4.20,173.16,4.20,0.7764,0.0200
250,186.80,6.11,206.34,5.70,0.7557,0.0224
300,218.84,4.56,238.32,5.23,0.7371,0.0152
